ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
362,10,,8,,15/04/2010,16/04/2010,22/04/2010,25/04/2010
363,10,,,,19/04/2010,19/04/2010,29/04/2010,
364,10,,10,,13/10/2010,,,
365,10,10,10,10,04/06/2010,26/09/2010,10/10/2010,
366,8,8,,8,06/11/2010,,,
367,,,,10,27/05/2010,01/06/2010,,
368,10,,,,06/05/2010,14/05/2010,,
369,10,10,,,14/09/2010,01/10/2010,,
370,10,,10,,09/10/2010,,,
371,9,,9,,10/05/2010,26/05/2010,31/05/2010,
372,10,10,10,10,06/05/2010,25/05/2010,10/09/2010,05/11/2010
373,10,,10,,05/03/2010,12/03/2010,16/05/2010,24/09/2010
374,8,8,,,27/05/2010,01/11/2010,,
375,,10,10,10,10/05/2010,24/05/2010,01/06/2010,09/09/2010
376,,9,9,8,28/05/2010,,,
377,4,,,,08/03/2010,,,
378,,9,10,10,06/05/2010,29/05/2010,,
379,,,9,9,19/05/2010,24/05/2010,25/05/2010,10/08/2010
380,10,,,,07/06/2010,11/05/2010,30/05/2010,
381,10,9,10,9,20/05/2010,,,
382,9,10,10,10,17/08/2010,30/08/2010,15/09/2010,30/09/2010
383,10,10,10,10,01/06/2010,07/06/2010,09/06/2010,
384,,,,,09/11/2010,,,
385,9,10,10,,29/05/2010,01/06/2010,,
386,8,,,,04/05/2010,14/05/2010,09/07/2010,
387,9,9,8,10,17/02/2010,13/05/2010,18/02/2010,19/02/2010
388,,,10,,19/03/2010,01/04/2010,12/04/2010,21/05/2010
389,10,10,5,,14/05/2010,23/05/2010,27/05/2010,01/06/2010
390,9,,,,30/09/2010,04/10/2010,10/10/2010,04/02/2011
391,,,,,24/05/2010,,,
392,10,,,,26/05/2010,04/09/2010,,
393,,10,10,8,24/11/2010,02/12/2010,07/12/2010,11/12/2010
394,7,9,8,9,04/10/2010,,,
395,10,10,10,10,21/05/2010,28/05/2010,01/06/2010,
396,9,9,10,10,27/05/2010,01/06/2010,23/09/2010,20/10/2010
397,5,,,,13/05/2010,01/06/2010,,
398,,,,,09/04/2010,20/04/2010,,
399,10,10,10,10,20/05/2010,30/05/2010,27/09/2010,26/10/2010
400,10,,10,,03/05/2010,13/05/2010,26/05/2010,01/06/2010
401,,,10,9,08/10/2010,08/10/2010,08/10/2010,08/10/2010
402,,10,,9,10/05/2010,17/05/2010,19/05/2010,24/05/2010
403,8,10,10,,02/10/2010,14/10/2010,19/10/2010,25/10/2010
404,,10,10,10,09/06/2010,23/10/2010,,
405,10,9,9,9,27/08/2010,05/09/2010,24/09/2010,12/10/2010
406,10,8,8,9,17/05/2010,20/05/2010,01/06/2010,31/08/2010
407,,,,,28/05/2010,,,
408,7,,,,25/02/2010,26/03/2010,02/02/2011,
409,9,9,,10,01/11/2010,,,
410,10,10,10,10,20/04/2010,04/06/2010,30/09/2010,
411,10,10,10,10,25/05/2010,28/05/2010,01/06/2010,
412,9,,9,10,26/03/2010,08/09/2010,10/10/2010,
413,,9,,,24/05/2010,02/06/2010,,
414,8,8,,,03/03/2010,07/03/2010,01/06/2010,24/09/2010
415,8,8,,,03/09/2010,08/09/2010,23/09/2010,
416,10,,,,26/04/2010,07/05/2010,31/05/2010,
417,9,,,10,01/06/2010,07/06/2010,13/10/2010,
418,10,,,,27/09/2010,30/09/2010,06/10/2010,
419,,,,,14/03/2010,12/05/2010,,
420,10,,,,25/05/2010,31/05/2010,,
421,10,10,10,9,27/05/2010,31/05/2010,01/06/2010,07/06/2010
422,9,,,,30/09/2010,,,
423,,7,,,06/10/2010,,,
424,10,10,10,10,22/05/2010,27/05/2010,01/06/2010,
425,,9,6,,25/05/2010,08/06/2010,21/09/2010,03/10/2010
426,8,,,,20/05/2010,29/05/2010,,
427,10,,,,30/09/2010,13/10/2010,,
428,10,10,,10,05/01/2011,05/01/2011,05/01/2011,28/01/2011
429,,,9,,09/04/2010,01/05/2010,31/05/2010,28/09/2010
430,8,,10,,26/04/2010,27/04/2010,28/04/2010,24/05/2010
431,9,,7,,09/04/2010,31/05/2010,,
432,9,10,10,9,13/06/2010,13/06/2010,13/05/2010,29/05/2010
433,10,,,,17/09/2010,,,
434,,,,,05/10/2010,07/10/2010,10/10/2010,11/10/2010
435,8,,,,07/06/2010,08/06/2010,,
436,10,10,10,10,28/05/2010,31/05/2010,01/06/2010,22/06/2010
437,,,,,08/11/2010,,,
438,9,,,,23/10/2010,15/11/2010,15/11/2010,
439,8,,,,24/01/2011,01/02/2011,01/02/2011,05/05/2011
440,9,10,,8,16/05/2010,21/05/2010,25/05/2010,27/05/2010
441,8,,10,,02/11/2009,12/04/2010,,
442,,,,,20/05/2010,22/10/2010,,
443,10,,,,28/10/2010,15/11/2010,,
444,10,,,,06/10/2010,20/10/2010,05/11/2010,
445,10,10,9,10,06/05/2010,20/05/2010,26/05/2010,27/05/2010
446,10,,,,30/09/2010,01/10/2010,05/10/2010,06/10/2010
447,10,10,8,9,22/11/2010,29/11/2010,30/11/2010,06/12/2010
448,10,,10,10,30/05/2010,10/06/2010,22/10/2010,
449,,,,,04/06/2010,07/09/2010,08/10/2010,
450,9,10,7,9,30/05/2010,30/09/2010,22/03/2011,
451,10,10,,,08/06/2010,,,
452,10,10,10,10,25/09/2010,29/09/2010,04/10/2010,11/10/2010
453,10,,,,18/08/2010,20/08/2010,26/08/2010,29/08/2010
454,9,,9,9,16/05/2010,28/05/2010,01/06/2010,11/10/2010
455,10,10,10,10,26/05/2010,17/09/2010,01/11/2010,
456,9,9,9,9,31/05/2010,28/08/2010,18/09/2010,05/10/2010
